yr,mn,ym,c1,c2,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,3000A,[5].amt,[6].amt,機構名稱,電子支付帳戶戶數,不具跨機構間國內外小額匯兌功能,第二類電子支付帳戶,第三類電子支付帳戶,總計,電子支付帳戶使用者人數,可從事與境外機構合作或協助從事電子支付機構業務相關行為交易之使用者人數,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,1900A,2900A,資料月份,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,小計,與境外機構合作或協助從事電子支付機構業務相關行為,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序
108,12,108/12,2027510,0,false,0,2027290,220,0,0,2027510,0,,一卡通票證股份有限公司,,,2027290,220,2027510,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2027510,0,108 年 12 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,11,108/11,1954552,0,false,0,1954347,205,0,0,1954552,0,,一卡通票證股份有限公司,,,1954347,205,1954552,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1954552,0,108 年 11 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,10,108/10,1874079,0,false,0,1873883,196,0,0,1874079,0,,一卡通票證股份有限公司,,,1873883,196,1874079,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1874079,0,108 年 10 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,9,108/09,1795590,0,false,0,1795397,193,0,0,1795590,0,,一卡通票證股份有限公司,,,1795397,193,1795590,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1795590,0,108 年 09 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,8,108/08,1734683,0,false,0,1734499,184,0,0,1734683,0,,一卡通票證股份有限公司,,,1734499,184,1734683,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1734683,0,108 年 08 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,7,108/07,1667983,0,false,0,1667807,176,0,0,1667983,0,,一卡通票證股份有限公司,,,1667807,176,1667983,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1667983,0,108 年 07 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,6,108/06,1594570,0,false,0,1594412,158,0,0,1594570,0,,一卡通票證股份有限公司,,,1594412,158,1594570,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1594570,0,108 年 06 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,5,108/05,1532787,0,false,0,1532581,206,0,0,1532787,0,,一卡通票證股份有限公司,,,1532581,206,1532787,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1532787,0,108 年 05 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,4,108/04,1462936,0,false,0,1462781,155,0,0,1462936,0,,一卡通票證股份有限公司,,,1462781,155,1462936,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1462936,0,108 年 04 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,3,108/03,1388407,0,false,0,1388253,154,0,0,1388407,0,,一卡通票證股份有限公司,,,1388253,154,1388407,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1388407,0,108 年 03 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,2,108/02,1305821,0,false,0,1305670,151,0,0,1305821,0,,一卡通票證股份有限公司,,,1305670,151,1305821,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1305821,0,108 年 02 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
108,1,108/01,1099230,0,false,0,1099087,143,0,0,1099230,0,,一卡通票證股份有限公司,,,1099087,143,1099230,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1099230,0,108 年 01 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
107,12,107/12,1006821,0,false,0,1006678,143,0,0,1006821,0,,一卡通票證股份有限公司,,,1006678,143,1006821,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,1006821,0,107 年 12 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
107,11,107/11,903296,0,false,0,903214,82,0,0,903296,0,,一卡通票證股份有限公司,,,903214,82,903296,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,903296,0,107 年 11 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
107,10,107/10,706490,0,false,0,706433,57,0,0,706490,0,,一卡通票證股份有限公司,,,706433,57,706490,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,706490,0,107 年 10 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
107,9,107/09,517593,0,false,0,517575,18,0,0,517593,0,,一卡通票證股份有限公司,,,517575,18,517593,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,517593,0,107 年 09 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
